paragraph,paragraphNumber,filePath,fileName,matchingKey,PoliceReform,Operations_PatrolsInterventions,StateAdministration,RefugeeAssistance,ElectionAssistance,LegalReform,CivilSocietyAssistance
"15. In the immediate aftermath, the United Nations humanitarian agencies, jointly, and in support of the Directorate of Civil Protection, visited some of the affected areas to assess the damage and identify areas of potential support to national authorities. MINUJUSTH assisted national rescue efforts by supporting the national police in the affected areas and through the deployment of its drone unit. In the wake of the earthquake, the Government announced the intention to create a permanent multisectoral crisis management mechanism under the leadership of the Prime Minister’s office to improve coordination, including of humanitarian aid, in line with the Government’s interest in a new paradigm for international assistance. The international community reiterated its long-standing support and continued commitment to investing in the strengthening of the Directorate of Civil Protection.",15,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"23. Against the backdrop of demonstrations throughout the reporting period, and in view of the elections planned for the fourth quarter of 2019, MINUJUSTH continued to use its community violence reduction programme to mitigate pockets of violence in “hot spot” areas in Port-au-Prince and its outskirts. In fragile environments, neighbourhoods affected by a lack of socioeconomic opportunities and limited access to basic services, including the police and justice systems, and prone to persistent gang violence, idle and disfranchised young men and women represent easy recruits who can be used to trigger violence in public protests to serve political and/or criminal interests. The programme involved community members, in particular at-risk youth and women living in the most marginalized neighbourhoods, in planning and implementing high labour-intensive and income-generating activities to stabilize and improve security in neighbourhoods under gang control.",23,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"24. MINUJUSTH initiated three separate community violence reduction projects, in Martissant and Carrefour-Feuille, southern neighbourhoods of Port-au-Prince, implemented by both national and international non-governmental organizations. Thus far, a total of 2,242 women and 2,058 men are enrolled in activities such as football tournaments, capacity-building for community leaders, neighbourhood-based dialogues to promote peace and access to education.",24,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,True
"25. These initiatives, which offered temporary livelihood opportunities to youth, complemented the national police’s security stabilization efforts by raising community awareness on security and rule of law issues as well as increasing community trust in the national police and rule of law institutions. For instance, in Port-au-Prince, internships and vocational training opportunities had been offered to 151 at-risk youth, in partnership with 70 local businesses, and in the Centre region, 288 young women and men from marginalized communities had participated in the construction of an agricultural road. The national police are now able to easily provide community policing services through activities undertaken within the framework of community violence reduction projects.",25,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,True,False,False,False,False
"27. Increasing the understanding of the rule of law remains a key priority. Since 1 September, MINUJUSTH mobile teams, with funding from the community violence reduction programme, has supported seven conferences and town hall debates throughout the country to raise community awareness of the rule of law. A total of 1,436 women, have participated. On the basis of assessments by mobile teams, 11 quick-impact projects were initiated to improve the facilities of rule of law institutions, including courts, prisons and police posts, as well as water treatment in prisons, toilet construction in detention cells and the construction of prison fences and watchtowers.",27,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"28. Under the joint rule of law programme, the Mission and the United Nations country team continued to support the rule of law institutions in line with the MINUJUSTH mandate. The programme helped to renovate and equip police stations, strengthened the case management system of the Inspector-General of the Haitian national police, and supported oversight and accountability bodies, such as the Superior Council of the Judiciary, the Ministry of Justice and Public Security, the Directorate of Prison Administration, the Office of the National Human Rights Ombudsperson, the Interministerial Committee on Human Rights and civil society, through the use of programmatic funding.",28,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,True
"29. MINUJUSTH finalized its protection of civilians strategy and its second forward-looking assessment of threats to civilians covering the period October to December 2018, in consultation with humanitarian actors. These include human rights violations by the national police, violence resulting from gang activity and violence triggered by major civil unrest, massive deportation or the spontaneous return of Haitian migrants, and natural disasters. A. Security and police developments (benchmarks 1, 4, 5 and 6)",29,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,True,False,False,False
"31. The efforts by the national police to ensure the safety of the population continued to be operationally challenged by gangs operating in areas of the capital. Despite the commitment of the national police hierarchy to tackle gangs, neighbourhoods such as Martissant, which are densely crowded, pose significant impediments to improving the safety of a population that is suffering from poor socioeconomic opportunities and particularly vulnerable to criminality and insecurity. On at least two occasions, national police officers accompanied by a MINUJUSTH formed police unit were fired upon during patrols in gang-ridden neighbourhoods without sustaining injuries or damage.",31,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,True,False,False,False,False,False
"32. During the planned demonstration on 17 October in Port-au-Prince, a group of violent demonstrators attempted to force entry into the World Bank and UNFPA offices, throwing stones and injuring a private security guard. Two surveillance cameras were also stolen. In Saint Marc (Artibonite), three United Nations formed police unit officers were injured by stones thrown at them, and seven police officers assigned to the public order unit suffered lacerations from stones in Cap-Haïtien. On 18 November, a small number of incidents were recorded.",32,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"33. The Mission provided operational support to the national police during the reporting period by participating in 290 joint temporary checkpoints, 528 foot patrols, 576 vehicle patrols and 5 joint police operations. The Mission also provided support in 12 crowd-control operations related to protests in Port-au-Prince and other cities. The national police specialized units continued to show progress in terms of and respect of human rights as outlined in the national police strategic development plan for the period 2017–2021.",33,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,True,False,False,False,False,False
"34. MINUJUSTH supported the national police in an operation conducted in Village de Dieu (southern Port-au-Prince, West region) in an attempt to regain control of the zone and capture a gang leader operating in that area, Arnel Joseph. The operation, which took place on 3 November, mobilized 140 officers from national police specialized units. In addition to assisting in planning the operation, MINUJUSTH supported the police in securing and conducting surveillance of the perimeter with a drone unit, five formed police unit sections and armoured vehicles. An armoured vehicle from the India 2 formed police unit was shot at during an exchange of gunfire between the national police and gang members. No injuries were reported. Although Arnel escaped, 72 people, including 12 women, were arrested on suspicion of criminal association, and some presumably stolen equipment and material was seized. The operation continued from 4 to 5 November, with an increased presence by the national police and MINUJUSTH formed police units (four sections) in the area, in particular through patrols on Route Nationale 2 and inside Village de Dieu.",34,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,True,False,False,False,False,False
"36. Since the adoption of the strategic development plan, a total of 42 infrastructure projects have been implemented, enabling the national police to increase their presence in the municipal sections. During the reporting period, 15 infrastructure projects in support of the national police were ongoing, 4 of which were financed by the Government of Haiti, 4 through the Mission quick-impact projects, 3 through the joint rule of law programme and 4 through bilateral cooperation. Increasing national police facilities across the country is a key aspect in ensuring the effective presence of the national police and reducing insecurity, but also for improving the working conditions of police officers.",36,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"38. As part of the joint project by MINUJUSTH and the United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women) to establish a gender-sensitive recruitment mechanism for the national police, activities are under way to identify marginalized communities in which young women will be encouraged to apply. Through its community violence reduction programme, the Mission also supported community mobilization against sexual and gender-based violence in the Artibonite, Grand’Anse and South regions. As at 20 November, 30 moderators from 15 local organizations carried out 59 sensitization sessions for 3,012 direct beneficiaries, to raise awareness among the general population on sexual and gender- based violence and on reporting such cases.",38,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"39. The fourth international seminar on the fight against sexual and gender-based violence, organized jointly by the Mission and the national police, took place from 8 to 10 October at the Haitian National Police Academy in Port-au-Prince. My Special Representative, international speakers, prosecutors and various United Nations organizations and civil society in Haiti participated in the seminar. The topics included human trafficking, sexual and gender-based violence, including domestic violence, justice and the functioning of the penal chain, and victim protection. Likewise, with the goal of enhancing the capacity of the national police to prevent and investigate cases of sexual and gender-based violence, in November, three workshops were held in the metropolitan area of Port-au-Prince with key stakeholders in the penal system.",39,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,True
