Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN,Threshold
XLM-RoBERTa-improved,1,PoliceReform,0.509493670886076,0.4847446685087431,0.5407407407407407,0.6952380952380952,0.05631244323342416,0.3047619047619048,0.6952380952380952,0.9436875567665758,73,62,32,1039,0.8500000000000001
XLM-RoBERTa-improved,1,Operations_PatrolsInterventions,0.509493670886076,0.4847446685087431,0.7142857142857143,0.6666666666666666,0.006802721088435374,0.3333333333333333,0.6666666666666666,0.9931972789115646,20,8,10,1168,0.9000000000000001
XLM-RoBERTa-improved,1,StateAdministration,0.509493670886076,0.4847446685087431,0.3728813559322034,0.5,0.031841652323580036,0.5,0.5,0.96815834767642,22,37,22,1125,0.7500000000000001
XLM-RoBERTa-improved,1,RefugeeAssistance,0.509493670886076,0.4847446685087431,0.19148936170212766,0.45,0.03204047217537943,0.55,0.45,0.9679595278246206,9,38,11,1148,0.6000000000000001
XLM-RoBERTa-improved,1,ElectionAssistance,0.509493670886076,0.4847446685087431,0.6538461538461539,0.7727272727272727,0.007601351351351352,0.22727272727272727,0.7727272727272727,0.9923986486486487,17,9,5,1175,0.8500000000000001
XLM-RoBERTa-improved,1,LegalReform,0.509493670886076,0.4847446685087431,0.3548387096774194,0.4230769230769231,0.01694915254237288,0.5769230769230769,0.4230769230769231,0.9830508474576272,11,20,15,1160,0.8
XLM-RoBERTa-improved,1,CivilSocietyAssistance,0.509493670886076,0.4847446685087431,0.3333333333333333,0.28125,0.015332197614991482,0.71875,0.28125,0.9846678023850085,9,18,23,1156,0.8500000000000001
XLM-RoBERTa-improved,2,PoliceReform,0.5084175084175084,0.4746326531150356,0.5294117647058824,0.6857142857142857,0.05812897366030881,0.3142857142857143,0.6857142857142857,0.9418710263396912,72,64,33,1037,0.9000000000000001
XLM-RoBERTa-improved,2,Operations_PatrolsInterventions,0.5084175084175084,0.4746326531150356,0.6153846153846154,0.5333333333333333,0.008503401360544218,0.4666666666666667,0.5333333333333333,0.9914965986394558,16,10,14,1166,0.9000000000000001
XLM-RoBERTa-improved,2,StateAdministration,0.5084175084175084,0.4746326531150356,0.5925925925925926,0.36363636363636365,0.00946643717728055,0.6363636363636364,0.36363636363636365,0.9905335628227194,16,11,28,1151,0.9000000000000001
XLM-RoBERTa-improved,2,RefugeeAssistance,0.5084175084175084,0.4746326531150356,0.42857142857142855,0.15,0.003372681281618887,0.85,0.15,0.9966273187183811,3,4,17,1182,0.7000000000000001
XLM-RoBERTa-improved,2,ElectionAssistance,0.5084175084175084,0.4746326531150356,0.8421052631578947,0.6956521739130435,0.00253592561284869,0.30434782608695654,0.6956521739130435,0.9974640743871513,16,3,7,1180,0.9000000000000001
XLM-RoBERTa-improved,2,LegalReform,0.5084175084175084,0.4746326531150356,0.22807017543859648,0.5,0.03728813559322034,0.5,0.5,0.9627118644067797,13,44,13,1136,0.7500000000000001
XLM-RoBERTa-improved,2,CivilSocietyAssistance,0.5084175084175084,0.4746326531150356,0.35714285714285715,0.46875,0.022998296422487224,0.53125,0.46875,0.9770017035775128,15,27,17,1147,0.8500000000000001
XLM-RoBERTa-improved,3,PoliceReform,0.5412667946257198,0.4818880832020504,0.5981308411214953,0.6095238095238096,0.03909090909090909,0.3904761904761905,0.6095238095238096,0.9609090909090909,64,43,41,1057,0.8500000000000001
XLM-RoBERTa-improved,3,Operations_PatrolsInterventions,0.5412667946257198,0.4818880832020504,0.7666666666666667,0.7419354838709677,0.00596252129471891,0.25806451612903225,0.7419354838709677,0.9940374787052811,23,7,8,1167,0.7500000000000001
