Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN,Threshold
XLM-RoBERTa,1,PoliceReform,0.4195121951219512,0.1868307131465026,0.6442307692307693,0.638095238095238,0.03360581289736603,0.3619047619047619,0.638095238095238,0.9663941871026339,67,37,38,1064,0.5
XLM-RoBERTa,1,Operations_PatrolsInterventions,0.4195121951219512,0.1868307131465026,0.7037037037037037,0.6333333333333333,0.006802721088435374,0.36666666666666664,0.6333333333333333,0.9931972789115646,19,8,11,1168,0.5
XLM-RoBERTa,1,StateAdministration,0.4195121951219512,0.1868307131465026,0.0,0.0,0.0,1.0,0.0,1.0,0,0,44,1162,0.5
XLM-RoBERTa,1,RefugeeAssistance,0.4195121951219512,0.1868307131465026,0.0,0.0,0.0,1.0,0.0,1.0,0,0,20,1186,0.5
XLM-RoBERTa,1,ElectionAssistance,0.4195121951219512,0.1868307131465026,0.0,0.0,0.0,1.0,0.0,1.0,0,0,22,1184,0.5
XLM-RoBERTa,1,LegalReform,0.4195121951219512,0.1868307131465026,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1180,0.5
XLM-RoBERTa,1,CivilSocietyAssistance,0.4195121951219512,0.1868307131465026,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174,0.5
XLM-RoBERTa,2,PoliceReform,0.2751322751322751,0.07318789584799437,0.5306122448979592,0.49523809523809526,0.04178019981834696,0.5047619047619047,0.49523809523809526,0.9582198001816531,52,46,53,1055,0.5
XLM-RoBERTa,2,Operations_PatrolsInterventions,0.2751322751322751,0.07318789584799437,0.0,0.0,0.0,1.0,0.0,1.0,0,0,30,1176,0.5
XLM-RoBERTa,2,StateAdministration,0.2751322751322751,0.07318789584799437,0.0,0.0,0.0,1.0,0.0,1.0,0,0,44,1162,0.5
XLM-RoBERTa,2,RefugeeAssistance,0.2751322751322751,0.07318789584799437,0.0,0.0,0.0,1.0,0.0,1.0,0,0,20,1186,0.5
XLM-RoBERTa,2,ElectionAssistance,0.2751322751322751,0.07318789584799437,0.0,0.0,0.0,1.0,0.0,1.0,0,0,23,1183,0.5
XLM-RoBERTa,2,LegalReform,0.2751322751322751,0.07318789584799437,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1180,0.5
XLM-RoBERTa,2,CivilSocietyAssistance,0.2751322751322751,0.07318789584799437,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174,0.5
XLM-RoBERTa,3,PoliceReform,0.30939226519337015,0.08602150537634409,0.691358024691358,0.5333333333333333,0.022727272727272728,0.4666666666666667,0.5333333333333333,0.9772727272727273,56,25,49,1075,0.5
XLM-RoBERTa,3,Operations_PatrolsInterventions,0.30939226519337015,0.08602150537634409,0.0,0.0,0.0,1.0,0.0,1.0,0,0,31,1174,0.5
XLM-RoBERTa,3,StateAdministration,0.30939226519337015,0.08602150537634409,0.0,0.0,0.0,1.0,0.0,1.0,0,0,43,1162,0.5
XLM-RoBERTa,3,RefugeeAssistance,0.30939226519337015,0.08602150537634409,0.0,0.0,0.0,1.0,0.0,1.0,0,0,21,1184,0.5
XLM-RoBERTa,3,ElectionAssistance,0.30939226519337015,0.08602150537634409,0.0,0.0,0.0,1.0,0.0,1.0,0,0,22,1183,0.5
XLM-RoBERTa,3,LegalReform,0.30939226519337015,0.08602150537634409,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1179,0.5
XLM-RoBERTa,3,CivilSocietyAssistance,0.30939226519337015,0.08602150537634409,0.0,0.0,0.0,1.0,0.0,1.0,0,0,33,1172,0.5
XLM-RoBERTa,4,PoliceReform,0.33497536945812806,0.14335188620902906,0.5043478260869565,0.5523809523809524,0.051771117166212535,0.44761904761904764,0.5523809523809524,0.9482288828337875,58,57,47,1044,0.5
XLM-RoBERTa,4,Operations_PatrolsInterventions,0.33497536945812806,0.14335188620902906,0.8333333333333334,0.3333333333333333,0.0017006802721088435,0.6666666666666666,0.3333333333333333,0.9982993197278912,10,2,20,1174,0.5
XLM-RoBERTa,4,StateAdministration,0.33497536945812806,0.14335188620902906,0.0,0.0,0.0,1.0,0.0,1.0,0,0,44,1162,0.5
XLM-RoBERTa,4,RefugeeAssistance,0.33497536945812806,0.14335188620902906,0.0,0.0,0.0,1.0,0.0,1.0,0,0,21,1185,0.5
XLM-RoBERTa,4,ElectionAssistance,0.33497536945812806,0.14335188620902906,0.0,0.0,0.0,1.0,0.0,1.0,0,0,22,1184,0.5
XLM-RoBERTa,4,LegalReform,0.33497536945812806,0.14335188620902906,0.0,0.0,0.0,1.0,0.0,1.0,0,0,25,1181,0.5
XLM-RoBERTa,4,CivilSocietyAssistance,0.33497536945812806,0.14335188620902906,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174,0.5
XLM-RoBERTa,5,PoliceReform,0.3118279569892473,0.08454810495626822,0.6373626373626373,0.5523809523809524,0.02997275204359673,0.44761904761904764,0.5523809523809524,0.9700272479564033,58,33,47,1068,0.5
XLM-RoBERTa,5,Operations_PatrolsInterventions,0.3118279569892473,0.08454810495626822,0.0,0.0,0.0,1.0,0.0,1.0,0,0,30,1176,0.5
XLM-RoBERTa,5,StateAdministration,0.3118279569892473,0.08454810495626822,0.0,0.0,0.0,1.0,0.0,1.0,0,0,44,1162,0.5
XLM-RoBERTa,5,RefugeeAssistance,0.3118279569892473,0.08454810495626822,0.0,0.0,0.0,1.0,0.0,1.0,0,0,21,1185,0.5
XLM-RoBERTa,5,ElectionAssistance,0.3118279569892473,0.08454810495626822,0.0,0.0,0.0,1.0,0.0,1.0,0,0,23,1183,0.5
XLM-RoBERTa,5,LegalReform,0.3118279569892473,0.08454810495626822,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1180,0.5
XLM-RoBERTa,5,CivilSocietyAssistance,0.3118279569892473,0.08454810495626822,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174,0.5
