Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN
Logistic Regression,1,PoliceReform,0.4353182751540041,0.4037621604458295,0.5232558139534884,0.42857142857142855,0.03723887375113533,0.5714285714285714,0.42857142857142855,0.9627611262488647,45,41,60,1060
Logistic Regression,1,Operations_PatrolsInterventions,0.4353182751540041,0.4037621604458295,0.64,0.5333333333333333,0.007653061224489796,0.4666666666666667,0.5333333333333333,0.9923469387755102,16,9,14,1167
Logistic Regression,1,StateAdministration,0.4353182751540041,0.4037621604458295,0.48484848484848486,0.36363636363636365,0.014629948364888123,0.6363636363636364,0.36363636363636365,0.9853700516351118,16,17,28,1145
Logistic Regression,1,RefugeeAssistance,0.4353182751540041,0.4037621604458295,0.42857142857142855,0.14285714285714285,0.0033755274261603376,0.8571428571428571,0.14285714285714285,0.9966244725738397,3,4,18,1181
Logistic Regression,1,ElectionAssistance,0.4353182751540041,0.4037621604458295,0.5384615384615384,0.3181818181818182,0.005067567567567568,0.6818181818181818,0.3181818181818182,0.9949324324324325,7,6,15,1178
Logistic Regression,1,LegalReform,0.4353182751540041,0.4037621604458295,0.5,0.2692307692307692,0.005932203389830509,0.7307692307692307,0.2692307692307692,0.9940677966101695,7,7,19,1173
Logistic Regression,1,CivilSocietyAssistance,0.4353182751540041,0.4037621604458295,0.41379310344827586,0.375,0.014480408858603067,0.625,0.375,0.985519591141397,12,17,20,1157
Logistic Regression,2,PoliceReform,0.5297741273100616,0.49954349456113445,0.6707317073170732,0.5238095238095238,0.02452316076294278,0.47619047619047616,0.5238095238095238,0.9754768392370572,55,27,50,1074
Logistic Regression,2,Operations_PatrolsInterventions,0.5297741273100616,0.49954349456113445,0.76,0.6333333333333333,0.00510204081632653,0.36666666666666664,0.6333333333333333,0.9948979591836735,19,6,11,1170
Logistic Regression,2,StateAdministration,0.5297741273100616,0.49954349456113445,0.625,0.45454545454545453,0.010327022375215147,0.5454545454545454,0.45454545454545453,0.9896729776247849,20,12,24,1150
Logistic Regression,2,RefugeeAssistance,0.5297741273100616,0.49954349456113445,0.5833333333333334,0.3333333333333333,0.004219409282700422,0.6666666666666666,0.3333333333333333,0.9957805907172996,7,5,14,1180
