Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN
Logistic Regression,1,PoliceReform,0.4872881355932203,0.4495781731817431,0.6067415730337079,0.5142857142857142,0.03178928247048138,0.4857142857142857,0.5142857142857142,0.9682107175295186,54,35,51,1066
Logistic Regression,1,Operations_PatrolsInterventions,0.4872881355932203,0.4495781731817431,0.7727272727272727,0.5666666666666667,0.004251700680272109,0.43333333333333335,0.5666666666666667,0.9957482993197279,17,5,13,1171
Logistic Regression,1,StateAdministration,0.4872881355932203,0.4495781731817431,0.46875,0.3409090909090909,0.014629948364888123,0.6590909090909091,0.3409090909090909,0.9853700516351118,15,17,29,1145
Logistic Regression,1,RefugeeAssistance,0.4872881355932203,0.4495781731817431,0.5,0.19047619047619047,0.0033755274261603376,0.8095238095238095,0.19047619047619047,0.9966244725738397,4,4,17,1181
Logistic Regression,1,ElectionAssistance,0.4872881355932203,0.4495781731817431,0.7272727272727273,0.36363636363636365,0.002533783783783784,0.6363636363636364,0.36363636363636365,0.9974662162162162,8,3,14,1181
Logistic Regression,1,LegalReform,0.4872881355932203,0.4495781731817431,0.6666666666666666,0.3076923076923077,0.003389830508474576,0.6923076923076923,0.3076923076923077,0.9966101694915255,8,4,18,1176
Logistic Regression,1,CivilSocietyAssistance,0.4872881355932203,0.4495781731817431,0.5,0.28125,0.007666098807495741,0.71875,0.28125,0.9923339011925043,9,9,23,1165
Logistic Regression,2,PoliceReform,0.5,0.45971601456233235,0.675,0.5142857142857142,0.023614895549500452,0.4857142857142857,0.5142857142857142,0.9763851044504995,54,26,51,1075
Logistic Regression,2,Operations_PatrolsInterventions,0.5,0.45971601456233235,0.6521739130434783,0.5,0.006802721088435374,0.5,0.5,0.9931972789115646,15,8,15,1168
Logistic Regression,2,StateAdministration,0.5,0.45971601456233235,0.6818181818181818,0.3409090909090909,0.006024096385542169,0.6590909090909091,0.3409090909090909,0.9939759036144579,15,7,29,1155
Logistic Regression,2,RefugeeAssistance,0.5,0.45971601456233235,0.7,0.3333333333333333,0.002531645569620253,0.6666666666666666,0.3333333333333333,0.9974683544303797,7,3,14,1182
Logistic Regression,2,ElectionAssistance,0.5,0.45971601456233235,0.7,0.3181818181818182,0.002533783783783784,0.6818181818181818,0.3181818181818182,0.9974662162162162,7,3,15,1181
